agluc_med egluc_med
agluc_med ams_gluc2
ams_gluc2 agluc_med
ams_gluc2 ems_gluc2
ems_hpt edbp_med
edbp_med esbp_med
esbp_med ems_hpt
sex eIle
aIle eIle
aIle aSerum_TG
aSerum_TG amet_syn2
aSerum_TG atri_med
aSerum_TG eSerumTG
emet_syn2 egluc_med
emet_syn2 eIRSsum9
eIRSsum9 emet_syn2
asmokstat aauditsc
asmokstat aSerum_TG
asmokstat aHDL_C
asmokstat eHDLC
asmokstat eApoB
aauditsc eauditsc
aauditsc asmokstat
aHDL_C amet_syn2
aHDL_C ahdl_med
aHDL_C eHDLC
eHDLC eSerumTG
eHDLC ems_hdl2
eApoB eTotFA
asbp_med esbp_med
asbp_med edbp_med
asbp_med adbp_med
asbp_med ams_hpt
adbp_med asbp_med
adbp_med edbp_med
ams_hpt adbp_med
ams_hpt asbp_med
ams_hpt ems_hpt
ams_waist ems_waist
ams_waist ahsCRP
ams_waist amet_syn2
ahsCRP aGp
ahsCRP aIL6
ahsCRP eIL6
amet_syn2 aIRSsum9
amet_syn2 emet_syn2
aIL6 eIL6
ems_hdl2 ehdl_med
ems_hdl2 eHDLC
ehdl_med eHDLC
ehdl_med ems_hdl2
ams_hdl2 ahdl_med
ahdl_med ehdl_med
ams_trig2 aTotFA
ams_trig2 aSerum_TG
ams_trig2 atri_med
aTotFA aApoB
atri_med ams_trig2
atri_med etri_med
aApoB amet_syn2
aApoB atri_med
aApoB eApoB
eSerumTG eIle
Sexe aIle
Sexe eIle
Sexe aSerum_TG
Sexe aHDL_C
Sexe aApoB
Sexe asmokstat
Sexe acidep09
acidep09 aids
acidep09 aedu
acidep09 ecidep09
acidep09 emet_syn2
eTotFA eSerumTG
aedu eauditsc
aids abaiscal
aids acidep09
aids eids
abaiscal aids
abaiscal ebaiscal
eids ebaiscal
eids ecidep09
ebaiscal eids
AIPMETO2 eipmeto2
etri_med ems_trig2
ecidep09 eids
aIRSsum9 amet_syn2
ems_trig2 etri_med
